Date,First Dose Daily Avg,Second Dose Daily Avg
2021-03-17,1602686.5714285714,1012147.8571428572
2021-03-16,1578155.5714285714,991469.1428571428
2021-03-15,1578459.142857143,977484.5714285715
2021-03-14,1558642.857142857,952724
2021-03-13,1646451.7142857143,1016124.2857142857
2021-03-12,1488229.7142857143,898675.8571428572
2021-03-11,1433714.857142857,4837589.571428572
2021-03-10,1370795.857142857,4700594.428571428
2021-03-09,1333297.142857143,4586008.714285715
2021-03-08,1324604.857142857,4499005.714285715
2021-03-07,1300218.5714285714,4398600.142857143
2021-03-06,1274759,4259558.142857143
2021-03-05,1194785.4285714286,4101346.8571428573
2021-03-04,1137325.4285714286,0
2021-03-03,1088348,0
2021-03-02,1030068.2857142857,0
2021-03-01,942125.5714285715,0
2021-02-28,877726.8571428572,0
2021-02-27,803705.8571428572,0
2021-02-26,743828.2857142857,0
2021-02-25,1471107.7142857143,0
2021-02-24,1451312.5714285714,0
2021-02-23,1431011.4285714286,0
2021-02-22,1445722.4285714286,0
2021-02-21,1476821,0
2021-02-20,1515050,0
2021-02-19,5996771.571428572,0
2021-02-18,5110948.285714285,0
2021-02-17,5011136.428571428,0
2021-02-16,4932555.571428572,0
2021-02-15,4859723,0
2021-02-14,4755763.571428572,0
2021-02-13,4600606.428571428,0
2021-02-12,0,0
2021-02-11,0,0
2021-02-10,0,0
2021-02-09,0,0
2021-02-08,0,0
2021-02-07,0,0
2021-02-06,0,0
2021-02-05,0,0
2021-02-04,0,0
2021-02-03,0,0
2021-02-02,0,0
2021-02-01,0,0
2021-01-31,0,0
2021-01-30,0,0
2021-01-29,0,0
2021-01-28,0,0
2021-01-27,0,0
2021-01-26,0,0
2021-01-25,0,0
2021-01-24,0,0
2021-01-23,0,0
2021-01-22,0,0
2021-01-21,0,0
2021-01-20,0,0
2021-01-19,0,0
2021-01-18,0,0
2021-01-17,0,0
2021-01-16,0,0
2021-01-15,0,0
2021-01-14,0,0
2021-01-13,0,0
2021-01-12,0,0
2021-01-11,0,0
2021-01-10,0,0
2021-01-09,0,0
2021-01-08,0,0
2021-01-07,0,0
2021-01-06,0,0
2021-01-05,0,0
2021-01-04,0,0
2021-01-03,0,0
2021-01-02,0,0
2021-01-01,0,0
2020-12-31,0,0
2020-12-30,0,0
2020-12-29,0,0
2020-12-28,0,0
2020-12-27,0,0
2020-12-26,0,0
2020-12-25,0,0
2020-12-24,0,0
2020-12-23,0,0
2020-12-22,0,0
2020-12-21,0,0
2020-12-20,0,0
